hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
0.75,1.878,1.148,1.891,0.847,0,0.72,-0.27,0.73,-0.338
0.25,1.085,0.661,1.091,0.695,1.05,-0.58,-0.62,-0.49,-0.161
1,2.88,1.504,2.374,1.48,2.71,2.08,0.48,1.713,0.345
0,0.72,0.882,0.985,0.711,1.62,-1.01,-0.21,-0.24,-0.183
0.25,1.279,1.009,1.504,0.965,-1.25,-0.43,-0.55,0.096,-0.558
-0.25,1.729,2.009,1.259,1.653,-0.3,0.42,0.8,-0.056,0.055
0.75,1.892,1.539,1.986,1.317,1.1,0.45,0.2,0.892,-0.143
0.5,1.125,1.16,1.254,0.918,0.5,-0.31,-0.33,0.403,-0.989
0.5,0.458,0.868,0.811,0.653,2.66,-1.05,-0.66,-0.527,-1.186
0.75,2.155,1.661,2.383,1.293,0.74,1.01,0.42,1.306,-0.012
0.5,1.622,1.981,1.836,1.637,1.42,0.44,0.76,0.812,0.504
-1,1.097,2.172,1.151,1.982,-0.35,-0.5,0.97,-0.433,0.677
0.75,0.989,0.585,1.471,0.589,1.2,-0.68,-1.15,0.122,-1.211
0.5,1.448,0.408,1.545,0.995,1.74,0.11,-1.09,0.442,-0.499
-0.75,1.032,1.574,1.253,1.933,-1.91,-0.55,0.27,-0.037,0.777
1,1.794,1.394,1.966,0.834,0.62,0.4,-0.24,0.874,-0.775
-0.5,0.985,1.82,1.114,1.604,-0.31,-0.11,0.53,0.246,0.354
-0.75,0.587,1.65,0.923,1.421,0,-0.77,0.49,-0.232,-0.157
0.75,1.588,1.223,2.052,0.77,0.57,0.36,-0.14,0.454,-0.431
0.25,2.029,2.882,2.387,2.513,1.99,0.8,1.98,1.709,1.457
0.75,1.572,0.969,1.951,0.905,-0.76,0.35,-0.53,0.405,-0.727
-1,1.199,2.048,1.349,1.761,0,-0.16,0.73,0.556,0.114
-0.25,0.955,1.479,1.128,1.311,-0.78,-0.59,0.15,-0.404,-0.14
1,1.744,1.161,1.993,0.796,2.62,0.46,-0.4,0.776,-0.729
0,1.071,1.145,1.248,0.877,-0.15,-0.45,-0.03,-0.036,-0.039
-1.25,0.754,2.704,0.869,2.342,-3,-0.98,1.72,-0.388,1.287
0.5,2.268,1.818,2.476,1.747,1.8,1.01,0.41,1.34,0.133
0.25,0.34,0.576,0.795,0.681,0.95,-1.11,-0.77,-0.536,-0.258
-0.5,1.366,1.562,1.654,1.915,-0.76,-0.25,0.26,0.314,0.761
0.5,2.79,1.862,2.475,1.533,0.39,1.81,0.59,1.739,-0.094
0,0.564,1.174,0.845,0.814,-1.25,-0.86,-0.18,-0.308,-0.382
-1,1.122,2.127,1.212,2.002,-1.67,-0.07,0.89,0.261,0.603
1.75,1.954,0.514,2.423,1.035,2.69,0.7,-0.89,1.742,-0.409
-0.25,0.91,1.649,1.402,1.452,0.6,-0.58,0.37,0.059,0.166
0.75,1.41,0.989,1.453,0.821,-0.32,0.23,-0.49,0.393,-0.982
1.25,1.671,0.955,1.234,0.899,1.38,0.32,-0.58,-0.075,-1.069
0.5,1.79,1.791,2.05,1.171,1.87,0.32,0.48,0.907,-0.104
0.25,1.198,0.606,1.129,0.585,-1.36,-0.31,-1.11,-0.4,-1.231
0.25,0.503,1.16,0.959,0.823,-0.21,-0.89,-0.05,-0.373,-0.103
-1.25,0.896,2.745,1.165,2.355,-1.8,-0.87,1.93,-0.195,1.301
0.5,1.715,1.285,2.155,1.366,0.65,0.35,0.07,0.527,-0.063
-0.25,0.497,1.286,0.812,1.301,1.51,-1.18,0.18,-0.501,0.13
0.25,1.208,0.771,1.322,0.766,-0.76,-0.17,-0.77,0.464,-0.933
-0.75,1.031,1.934,1.283,1.64,-1.12,-0.56,0.6,0.005,0.086
0.25,1.775,1.808,2.066,1.936,0.33,0.3,0.75,1.162,0.645
0.5,1.248,0.434,1.621,0.583,0.37,-0.28,-0.94,0.328,-0.465
1.75,2.198,1.315,2.555,0.8,2.64,1.01,-0.25,1.847,-0.714
-0.25,1.865,1.932,1.951,1.902,-2.03,0.56,0.67,0.675,0.55
0.5,1.283,0.89,1.649,0.965,2.02,-0.23,-0.71,0.402,-0.869
0.5,1.077,0.878,1.188,0.881,2.37,-0.18,-0.81,0.236,-1.188
-0.25,1.348,1.32,1.167,1.399,-0.01,-0.22,0.08,-0.412,-0.041
-1,0.486,2.033,0.768,1.706,-1.1,-0.88,0.89,-0.402,0.202
1.25,1.832,0.487,1.466,0.573,2.08,0.77,-1.13,0.398,-1.226
1.25,1.773,0.816,2.185,0.771,0.63,0.38,-0.63,0.954,-0.915
1,1.8,1.244,1.964,0.899,0.54,0.35,-0.13,1.059,-0.357
0.25,1.864,1.637,2.093,1.027,2.03,0.69,0.28,0.943,-0.263
0.75,2.714,2.076,2.443,1.748,2.3,1.86,0.75,1.788,0.204
0.5,1.345,0.634,1.415,0.894,0.37,0.21,-0.75,0.542,-0.501
0,0.611,1.023,0.692,0.746,0.27,-0.77,-0.24,-0.474,-0.241
1,1.731,1.349,1.982,0.924,3,0.43,-0.22,0.82,-0.64
-0.25,0.98,1.778,1.253,1.879,-1.28,-0.4,0.73,-0.102,0.612
-1.25,0.872,2.719,1.137,2.441,-1.1,-0.7,1.84,-0.156,1.396
0.25,1.166,1.378,1.304,1.455,1,-0.01,0.29,0.284,0.268
0.75,1.776,1.398,1.975,0.726,1.23,0.49,-0.11,0.416,-0.896
0.25,2.121,1.581,2.44,1.824,0.39,0.94,0.09,1.567,0.299
-0.5,0.681,1.731,1.081,1.453,-0.34,-0.64,0.73,-0.245,0.239
0.5,1.4,0.437,1.356,0.562,0,0.16,-1.23,0.475,-1.226
-1,1.041,1.833,1.142,1.462,-0.86,-0.67,0.32,-0.191,-0.332
0.75,1.549,1.324,2.109,1.362,0.92,0.06,0.13,0.754,-0.009
0.25,1.322,0.814,1.204,0.825,-0.4,-0.29,-0.86,-0.324,-1.012
-0.5,1.183,1.877,1.104,1.592,-2.08,-0.08,0.58,0.151,0.1
0.25,1.636,1.622,1.991,1.697,0.5,0.55,0.62,0.883,0.395
0.5,1.31,1.141,1.327,0.936,2.33,0.22,-0.22,0.45,-0.555
0.25,1.55,1.432,1.756,1.001,0,0.03,0.19,0.514,-0.29
0.5,1.977,1.619,1.991,1.067,1.26,0.53,0.34,0.986,-0.217
1.75,2.689,0.599,2.575,0.703,0.9,1.83,-0.8,1.909,-0.419
0.5,0.728,1.02,1.119,1.044,-0.47,-0.51,-0.8,-0.2,-1.072
-1.25,0.489,2.259,0.795,1.812,-1.4,-1.05,1.03,-0.511,0.258
-1,1.058,2.695,1.409,2.532,-0.75,-0.25,1.93,0.08,1.548
-0.25,0.499,1.479,0.84,0.892,-2.24,-1.03,-0.03,-0.46,-0.778
-0.75,1.584,1.781,1.389,1.667,-2.1,0.37,0.28,0.485,0.192
1.25,2.117,1.224,2.452,1.394,1.56,0.95,0.17,1.515,0.202
1,1.65,1.22,1.473,0.912,1.25,0.65,-0.03,0.463,-0.051
0.75,1.621,1.316,1.815,0.865,-0.25,0.44,-0.29,0.308,-0.747
-0.75,0.96,1.603,1.079,1.484,-0.97,-0.84,0.32,-0.368,0.283
-0.75,0.858,1.873,1.114,1.561,-2.12,-0.77,0.35,-0.293,-0.145
1,1.744,0.853,2.002,0.936,0.7,0.5,-0.44,0.884,-0.451
1,1.177,0.547,1.338,0.669,2.28,0.03,-0.96,0.178,-0.591
-1.25,1.31,2.725,1.24,2.605,0.02,-0.28,1.79,-0.156,1.682
0.25,1.336,0.996,1.122,0.978,-0.62,0.03,-0.37,0.148,-0.512
-0.75,1.59,2.274,1.601,1.716,-1.05,0.03,1.07,0.404,0.212
-0.25,0.82,1.552,1.017,1.101,-0.84,-1.1,0.38,-0.481,-0.244
0.75,1.079,0.801,1.32,0.748,-0.25,0.01,-0.87,0.441,-1.032
0.25,1.805,1.496,2.279,1.844,1.41,0.25,0.49,0.822,0.547
-0.25,0.836,1.682,1.157,1.063,-0.4,-0.45,0.47,-0.176,-0.043
1.25,1.617,0.489,1.952,0.611,1.7,0.27,-1.02,0.757,-1.161
-0.75,0.556,1.902,0.618,1.548,0,-0.94,0.64,-0.625,0.067
0.75,2.193,1.213,1.946,1.295,2.32,0.85,0.07,0.903,-0.069
0.75,2.731,1.725,2.704,1.508,2.08,1.75,0.33,2.091,0.269
0.5,1.481,1.243,1.341,0.876,-0.22,0.19,-0.4,0.416,-0.732
0.75,1.426,0.997,1.323,1.326,1.97,0.36,-0.15,0.233,0.078
0,1.789,1.95,1.88,1.693,-1.4,0.64,0.47,0.439,0.209
0,0.845,0.78,1.092,0.797,-1.22,-0.81,-0.62,-0.367,-0.542
0.5,0.479,0.944,0.702,0.903,-0.11,-1.02,-0.9,-0.672,-1.151
1.5,2.108,1.269,2.551,1.054,1.67,0.91,-0.03,1.476,0.01
0.25,1.743,2.209,2.146,1.678,-0.75,0.53,0.91,0.879,0.124
0.75,1.117,0.725,1.34,0.655,-0.3,-0.3,-0.7,-0.042,-0.599
0.25,1.189,1.618,1.331,1.054,0.58,-0.01,0.05,0.175,-0.662
-1.25,0.768,2.126,1.01,1.561,-1.91,-0.84,0.97,-0.44,0.068
-0.25,1.178,0.917,1.215,1.359,-0.35,-0.45,-0.23,-0.193,0.237
0.75,2.519,1.337,2.53,1.662,-0.21,1.55,0.31,1.949,0.368
-0.25,1.586,1.571,1.709,1.659,-1.1,0.03,0.18,0.456,0.444
0,1.243,1.346,1.039,1.269,0.58,-0.11,0.13,0.024,-0.148
0.25,0.704,1.512,1.013,1.019,1.54,-0.65,0.21,-0.514,-0.48
-0.75,0.67,1.961,0.766,1.222,0,-0.75,0.74,-0.552,0.203
0.75,1.923,1.235,2.285,1.018,0.76,0.7,-0.23,1.004,-0.522
1.25,2.22,0.53,2.191,0.598,2.62,0.78,-0.96,1.057,-1.158
1.75,1.712,0.945,2.293,0.945,1.26,0.23,-0.88,0.846,-1.007
0.5,1.391,0.933,1.494,0.673,1.31,-0.09,-0.6,0.1,-1.052
1.25,1.19,1.155,1.212,0.818,0.68,0.15,-0.46,0.18,-0.778
0.75,1.421,0.657,1.434,0.622,1.63,0.09,-0.73,0.387,-0.648
-0.25,0.946,1.614,1.137,1.033,-0.14,-0.87,0.15,-0.291,-0.588
-0.25,0.958,1.582,1.233,1.665,-0.96,-0.24,0.02,0.392,0.238
0,0.519,0.75,0.628,0.721,1.51,-0.94,-0.55,-0.739,-0.612
0.75,2.008,1.178,1.943,1.013,0.39,0.85,-0.23,0.428,-0.111
-0.75,1.459,2.593,1.485,2.613,-2.38,0.25,1.76,0.272,1.688
0,1.567,1.656,1.931,1.515,0.66,0.23,0.44,0.679,0.084
0.5,1.846,2.407,2.56,1.59,0,0.55,1.03,1.487,0.085
-0.75,0.664,1.307,0.69,1.508,-1.22,-0.72,0.21,-0.682,0.2
0.75,1.809,2.028,2.388,1.549,2.33,0.58,0.82,1.276,0.591
1.25,2.419,0.735,2.207,0.707,0.47,0.99,-0.58,1.036,-0.64
0.25,1.602,0.999,1.735,1.473,1.38,0.15,-0.16,0.487,0.292
0.25,0.914,0.987,1.05,0.946,1.51,-0.57,-0.81,-0.411,-0.987
-0.25,1.332,1.596,1.405,1.413,-0.39,0,0.25,0.359,0.202
1.25,1.623,0.649,2.107,0.586,1.69,0.41,-0.81,0.88,-1.094
0.75,2.565,1.55,2.801,1.511,0.71,1.81,-0.06,2.264,0.073
0.25,1.011,1.034,1.15,0.933,1.03,-0.55,-0.33,-0.25,-0.189
0,1.423,1.43,1.548,1.304,0.34,-0.07,0.04,0.126,-0.065
-1,1.028,1.665,1.135,1.444,-1.61,-0.59,0.38,-0.285,0.005
-1,0.973,2.393,1.018,2.741,-0.29,-0.38,1.38,-0.076,1.935
1.25,1.543,1.171,2.187,0.802,1.82,-0.03,-0.4,0.789,-0.742
0.5,0.939,1.306,1.349,1.059,-0.03,-0.34,-0.08,0.505,-0.43
1,2.151,0.916,1.952,0.619,2.25,0.94,-0.56,0.435,-1.091
0.25,0.636,0.606,0.796,0.67,0,-0.93,-0.87,-0.523,-0.574
0.75,1.341,1.75,1.328,1.032,2.35,0.28,0.37,0.236,-0.576
0,0.72,1.334,0.933,1.058,-1.34,-0.59,-0.27,-0.584,-0.572
-0.25,1.365,1.731,1.455,1.484,-1.27,-0.09,0.58,0.066,0.103
0,1.624,2.31,2.033,1.618,-1.74,0.32,0.85,0.726,0.104
0.25,0.734,1.168,0.584,0.806,-0.78,-0.79,-0.39,-0.889,-0.727
-0.5,0.861,1.772,1.089,1.525,-3,-0.61,0.5,-0.323,0.319
-0.25,1.8,1.617,1.76,1.541,-2.28,0.45,0.01,0.577,0.231
1.5,2.354,0.886,2.624,0.652,1.41,1.36,-0.48,1.777,-0.687
1.25,1.654,1.243,2.22,1.038,0.73,0.44,-0.11,1.07,-0.461
0.5,0.954,0.591,0.938,0.575,-0.21,-0.39,-0.97,-0.175,-1.213
0.75,1.217,0.947,1.386,0.987,1.36,-0.19,-0.62,0.004,-0.767
-0.5,1.307,2.196,1.537,1.586,-2.03,-0.28,0.75,0.123,0.081
0.75,1.68,0.94,2.124,1.443,0.63,0.51,-0.33,1.002,0.146
0.25,2.163,1.314,1.933,1.611,0.07,1.06,0.24,0.426,0.316
0,0.929,1.703,1.094,1.192,-0.65,-0.43,0.36,-0.472,-0.404
-0.25,0.988,1.462,1.172,0.996,-2.28,-0.53,-0.17,-0.239,-0.62
0.5,1.917,1.133,2.052,1.298,1.6,0.71,-0.22,0.731,-0.063
0,0.519,0.844,0.78,0.667,-0.46,-0.99,-0.74,-0.533,-1.029
-1,1.024,1.596,1.308,1.442,-1.19,-0.48,0.36,-0.144,0.042
-0.5,1.399,2.042,1.317,1.888,0,0.08,1,0.192,1.022
0.75,0.921,0.86,1.262,0.777,0,-0.47,-0.71,0.334,-0.543
1,1.452,0.955,2.155,0.894,1.99,-0.07,-0.39,0.677,-0.245
0,2.085,2.16,2.317,2.571,-0.44,0.78,1.19,1.026,1.679
0.25,1.227,1.871,1.301,1.364,0.58,0.15,0.7,0.192,-0.073
0,0.936,1.083,0.959,1.294,-1.26,-0.42,-0.24,-0.172,-0.077
0,0.887,1.551,1.067,1.197,0.76,-0.68,0.17,-0.457,-0.332
0.25,1.713,1.563,2.171,1.459,-1.63,0.49,0.05,0.949,0.104
-0.25,1.29,1.383,1.378,1.639,-1.64,-0.12,0.31,0.004,0.35
0.5,1.639,1.839,2.074,1.635,-0.34,0.44,0.63,0.983,0.493
0.75,1.312,1.004,1.566,0.79,-1.06,-0.39,-0.49,0.141,-0.733
1.75,2.297,1.028,2.419,1.028,2.71,1.27,-0.38,1.428,-0.671
0,0.835,1.09,0.692,0.659,-0.13,-0.78,-0.32,-0.831,-0.673
1.25,1.969,0.569,1.723,0.503,0.18,0.94,-0.85,0.256,-1.269
-0.25,1.549,1.963,1.745,1.483,-2.28,0.25,0.73,0.566,0.048
-0.75,0.948,2.014,1.209,1.85,-0.56,-0.45,1.19,-0.094,0.982
-0.5,0.558,1.144,0.825,1.412,-0.47,-1.05,-0.26,-0.482,-0.002
1.25,1.536,0.87,1.456,0.714,2.35,0.4,-0.75,0.404,-0.968
1,1.888,1.097,2.271,0.856,1.46,0.68,-0.31,0.998,-0.361
1.25,1.56,0.878,2.172,0.794,0,0.05,-0.72,0.703,-0.639
-0.5,1.58,1.618,1.451,1.296,0,0.21,0.4,0.248,-0.192
0.75,1.681,1.466,1.891,0.977,0.73,0.42,-0.16,0.576,-0.748
-0.75,1.129,1.787,1.132,1.593,-2.42,-0.23,0.59,-0.443,0.302
-0.75,1.022,2.191,1.296,2.579,-3,-0.3,1.16,0.387,1.586
-0.25,0.984,1.457,1.242,1.128,1.67,-0.46,0.21,-0.322,-0.456
0.5,1.548,1.732,2.068,1.562,0.94,0.05,0.5,0.649,0.363
0,1.646,1.811,2.188,1.742,-1.28,0.43,0.84,0.97,0.637
0.25,0.921,0.812,0.679,0.7,-0.6,-0.63,-0.79,-0.854,-0.888
0.25,1.686,1.91,1.607,1.514,0.37,0.49,0.61,0.497,0.099
0.5,1.262,1.609,1.23,1.354,1.61,-0.13,0.25,-0.096,-0.185
0.75,2.087,2.034,2.391,1.874,1.21,0.98,1.21,1.399,1.003
0.25,1.035,1.106,1.06,0.666,-0.23,-0.36,-0.45,-0.128,-0.66
1,1.021,0.546,1.331,0.493,-0.11,-0.29,-1.07,0.42,-1.464
0.25,1.024,0.949,1.357,1.067,1.29,-0.37,-0.44,-0.195,-0.617
0.25,1.437,1.428,1.595,1.066,0.52,-0.24,0.28,0.078,-0.568
0.75,1.577,0.894,2.033,0.819,0.47,0.21,-0.46,0.725,-0.414
-0.75,0.93,1.612,1.124,1.666,-1.2,-0.45,0.36,-0.132,0.323
-0.75,0.675,1.664,1.046,1.45,-0.95,-0.94,0.27,-0.487,0.102
1.25,1.936,1.428,2.213,0.957,1.98,1.01,-0.23,1.123,-0.814
0,1.265,1.256,1.07,1.444,-0.4,-0.34,-0.13,-0.735,0.038
0.5,1.821,1.141,1.699,1.228,-0.49,0.9,-0.16,0.455,-0.136
-0.75,1.516,2.193,1.422,2.548,0,0.12,1.02,0.183,1.554
-0.25,1.339,1.677,1.65,1.331,-0.39,0.16,0.32,0.514,-0.027
1.5,1.917,1.083,2.155,0.778,0,0.66,-0.46,0.795,-0.646
-0.25,0.535,1.184,0.688,0.774,0.6,-1.09,-0.23,-0.633,-0.738
0.25,1.4,1.626,1.503,1.327,1.37,-0.23,0.24,0.036,-0.201
0,1.029,1.373,0.845,1.064,0.54,-0.57,0.19,-0.697,-0.556
1,1.459,1.239,1.535,0.833,0.71,0.26,-0.35,0.366,-0.506
1.75,1.598,0.464,2.01,0.443,2.68,0.22,-1.11,0.522,-1.555
0.5,0.816,0.802,0.979,0.646,1.08,-0.53,-0.8,-0.206,-0.991
0,1.372,1.952,1.266,1.998,-0.29,-0.07,1,-0.054,1.14
0,2.029,2.111,2.367,1.931,-1.64,0.8,1.08,1.275,0.865
-0.25,1.118,1.565,1.485,1.531,0.68,-0.24,0.2,0.572,0.428
1.25,1.702,1.092,2.197,0.925,1.61,0.36,-0.26,0.893,-0.705
-0.75,1.1,1.828,1.39,1.703,-1.98,-0.3,0.53,-0.171,0.333
-0.5,0.455,1.372,0.613,0.938,0.47,-1.25,-0.25,-0.741,-0.717
0,0.806,1.372,1.205,1.475,1.18,-0.78,-0.06,-0.237,0.057
-0.25,1.13,1.056,1.242,1.083,0.16,-0.22,-0.3,-0.069,-0.414
0,1.695,1.608,1.845,1.289,-1.93,0.76,0.31,0.607,-0.019
0.75,2.018,1.49,2.206,1.512,2.04,0.96,0.17,0.96,0.176
0.75,1.174,1.218,1.048,0.819,-0.56,-0.47,-0.12,-0.7,-0.603
-0.5,1.526,2.048,1.677,2.376,-2.42,0.47,0.86,0.584,1.362
0,1.734,0.739,1.514,0.802,-0.07,0.29,-0.56,0.279,-0.466
1.25,1.714,0.968,1.908,0.762,1.1,0.29,-0.8,0.614,-0.713
0.25,1.67,1.626,2.172,1.221,-0.68,0.26,0.41,0.739,-0.138
0,1.404,1.709,1.473,1.808,1.22,-0.2,0.76,0.015,0.917
0,1.525,2.038,1.301,1.772,-2.28,0.22,0.92,0.067,0.687
-0.5,1.214,1.821,1.543,1.561,-1.53,-0.11,0.35,0.093,0.319
0,0.949,1.248,0.732,0.846,-0.67,-0.8,-0.15,-0.956,-0.731
1.75,1.947,0.506,2.379,0.434,3,0.72,-1.19,1.329,-1.684
0.5,1.475,0.669,2.213,0.693,2.38,0.18,-1.05,0.916,-0.931
0.75,1.618,1.091,2.03,0.696,2.4,0.41,-0.54,0.672,-0.656
1,1.364,1.579,1.644,1.481,0.75,0.01,0.19,0.479,-0.117
0,0.865,1.435,0.959,1.223,-1.43,-0.49,0.42,-0.242,-0.264
-0.5,1.035,1.637,1.455,1.669,-1.44,-0.31,0.23,0.541,0.25
-1.25,1.156,1.968,1.244,2.232,-3,0.54,0.71,0.629,1.178
-0.25,1.159,1.568,1.3,1.832,-0.18,0.49,0.57,0.583,0.979
1.25,2.082,1.476,2.222,1.451,0.12,0.91,-0.01,0.88,-0.134
1,1.505,1.343,2.205,0.789,1.72,0.2,0.06,0.861,-0.837
-0.25,1.357,1.477,1.403,1.482,-0.23,-0.23,0.19,-0.105,0.193
-0.25,0.936,1.965,0.974,1.662,0.47,-0.4,0.54,-0.263,0.433
-0.5,1.018,1.64,1.407,1.696,-2.35,-0.21,0.24,0.573,0.265
0.75,1.451,0.959,1.259,0.627,-0.68,0.16,0.42,-0.041,0.169
-0.25,1.659,1.645,1.679,1.256,-1.56,0.59,0.49,0.626,-0.156
-0.5,1.073,1.507,1.159,1.512,-1.74,0.38,0.23,0.436,0.229
0.5,1.326,0.868,1.298,0.863,0.36,-0.21,-0.41,0.109,-0.51
-0.5,1.306,1.391,1.21,1.143,-0.47,-0.38,0.1,-0.44,-0.117
1,1.672,1.482,2.17,1.505,1.3,0.52,0.19,0.884,0.257
1,1.667,1.506,2.129,1.259,2.28,0.34,0.38,0.716,-0.239
1,1.444,1.097,1.699,0.967,0.79,0.58,-0.29,0.492,-0.376
1,1.793,1.076,1.93,0.78,1.56,0.43,0.28,0.582,0.102
1.5,1.989,1.209,2.392,0.89,1.49,0.73,-0.47,1.343,-0.735
-0.25,1.255,0.957,1.514,1.021,0.72,0.02,-0.39,0.262,-0.466
-1.25,0.98,2.221,1.051,1.707,-2.38,0.41,1.05,0.313,0.6
0.5,1.064,1.34,1.375,0.817,0.85,-0.62,-0.35,-0.103,-0.594
0,1.363,1.819,2.221,1.412,-0.94,0.08,0.73,0.884,0.124
0.75,1.415,0.94,1.606,0.614,0.66,0.33,0.29,0.493,0.125
0.5,0.998,1.172,1.258,0.896,1.23,-0.34,0.4,0.341,0.31
0.75,1.973,1.636,2.368,1.508,0.99,0.74,0.28,1.332,0.203
1,1.477,1.44,1.792,1.422,1.27,0.19,-0.09,0.691,-0.131
0.75,1.332,1.174,1.173,0.885,1.23,-0.04,0.32,-0.08,0.14
0.75,2.357,1.51,2.237,1.686,1.6,1.19,0.62,0.782,0.84
0.5,1.015,1.291,1.135,0.794,1.54,-0.36,0.14,-0.157,-0.82
-0.75,0.851,1.55,1.342,1.842,-0.89,-0.44,0.23,-0.135,0.493
0.5,1.579,1.74,2.026,1.538,1.54,0.31,0.33,0.621,0.179
0.5,2.458,1.911,2.252,1.443,2.08,1.4,0.77,0.967,0.142
-1,1.131,1.813,1.254,2.248,-1.4,0.25,0.58,0.391,1.235
-0.25,0.901,0.998,1.03,0.94,-1.33,0.22,-0.33,0.247,-0.618
0.25,1.291,1.135,1.453,1.008,-0.78,-0.31,-0.24,0.268,-0.348
0,1.148,1.183,1.256,0.872,-1.6,0.37,-0.49,0.447,-0.72
0.25,1.347,1.628,1.729,1.361,0.67,0.24,0.41,0.565,0.124
1,1.288,0.794,2.137,0.725,3,0.02,-0.55,0.806,-0.661
-0.25,1.265,1.486,1.544,1.355,-0.6,0.06,0.06,0.297,0.031
0,1.313,1.567,1.366,1.294,0.37,-0.42,0.42,-0.25,-0.194
0.25,1.239,1.245,1.393,0.938,0.71,-0.04,0.44,-0.05,0.336
0.25,1.052,1.168,1.253,0.807,-1.08,-0.27,0.28,-0.034,0.057
1.25,1.874,1.347,2.064,0.761,2.71,0.59,-0.3,0.699,-0.702
-0.5,1.16,1.607,1.408,1.865,-0.94,-0.52,0.38,-0.021,0.563
0.5,1.511,1.325,1.766,1.353,1.27,0.12,-0.26,0.342,-0.309
-1.25,0.738,2.42,1.275,1.894,-1.28,-0.84,1.48,-0.253,0.877
-0.25,1.038,1.497,1.173,1.685,0.6,-0.25,0.33,0.173,0.691
1.5,1.662,0.923,1.955,0.582,1.87,0.44,0.22,0.904,0.062
-0.75,1.476,1.914,1.633,2.178,-2.24,0.38,0.6,0.503,0.888
0,1.596,1.51,1.33,1.052,-1.36,0.24,0.3,0.022,-0.186
1.25,1.543,1.212,2.045,1.048,2.37,0.25,-0.17,0.609,-0.301
-1,0.845,1.897,1.009,1.258,-2.32,0.03,0.47,0.222,-0.31
0.25,0.723,1.154,1.249,0.738,1.38,-0.8,-0.16,-0.268,-0.924
-0.75,1.28,1.809,1.399,1.214,-1.1,-0.35,0.63,-0.205,-0.019
0.5,1.541,1.625,1.75,1.508,0.54,0.16,0.32,0.335,0.291
1.5,2.552,1.197,2.356,0.814,2.03,1.55,-0.43,1.189,-0.826
1.5,1.779,0.977,2.2,0.981,2.62,0.43,-0.36,1.205,-0.525
0,1.359,1.386,1.484,1.328,0.03,-0.14,0.33,0.302,-0.11
-0.5,1.22,1.648,1.351,1.792,0.43,0.37,0.48,0.539,0.798
-0.5,1.085,1.419,1.229,0.971,-2.28,0.18,0.25,0.363,-0.263
-0.5,1.187,1.804,1.368,2.074,-1.26,-0.14,0.44,0.027,0.83
0.5,1.999,1.65,2.083,1.507,1.05,0.58,0.28,0.705,0.103
-1.25,1.091,2.449,1.385,1.916,-1.34,-0.22,1.46,-0.049,0.879
0.75,1.418,0.889,1.661,0.71,-1.4,0.36,-0.69,0.533,-0.908
0.25,0.918,1.224,1.029,0.791,1.62,-0.54,0.35,-0.031,0.015
0,1.914,1.692,2.056,1.708,0.01,0.68,0.35,1.006,0.391
1.25,1.391,1.236,2.154,0.919,3,0.12,0.37,1.051,0.31
0.25,1.233,1.271,1.52,1.266,0.32,-0.4,-0.17,0.1,-0.424
0.75,1.472,1.214,1.324,0.745,2.04,0.15,-0.4,0.021,-0.668
1.25,1.643,0.768,1.779,0.57,1.1,0.48,-0.17,0.581,-0.027
0,0.871,0.839,1.405,0.841,-1.31,-0.81,-0.57,-0.122,-0.735
0,1.164,1.087,1.301,0.938,-1.15,-0.3,-0.49,-0.214,-0.749
1.25,2.549,1.53,2.379,1.322,0.85,1.57,0.53,1.162,-0.108
0.75,1.574,1.382,2.065,1.478,2.35,0.29,0.07,0.616,0.205
-0.5,1.199,1.982,1.365,1.423,-0.79,0.29,0.63,0.536,-0.141
0.75,1.386,1.029,1.515,0.683,0.68,-0.11,-0.46,0.377,-0.966
0,1.699,1.993,1.751,1.401,0.33,0.23,0.77,0.401,0.074
0.25,1.211,1.25,1.324,0.791,1.62,0.26,-0.31,0.488,-0.574
-0.5,0.732,1.466,0.969,0.911,-1.36,-0.35,0.35,0.097,-0.438
0.75,1.789,1.663,2.016,1.816,1.3,0.7,0.44,0.942,0.822
-1,1.225,1.753,1.251,2.213,-0.1,-0.33,0.61,-0.301,1.158
-0.5,1.354,2.437,1.357,2.018,-2.32,0.11,1.45,0.061,1.103
-0.25,1.005,1.725,1.489,1.564,-0.54,-0.52,0.21,0.118,0.141
0.75,1.618,1.499,2.247,1.421,0.73,0.61,0.07,1.304,-0.315
0.75,1.52,1.307,1.768,0.901,-0.73,0.52,0.27,0.703,0.203
0.25,0.968,0.697,1.357,0.559,-0.65,-0.63,-0.52,-0.249,-0.187
1,1.832,1.155,1.955,0.775,1.63,0.61,0.22,0.946,-0.025
0.25,2.07,1.723,2.101,1.613,1.99,0.68,0.45,0.771,0.343
0.25,0.762,1.2,1.028,0.986,0.55,-0.63,-0.25,-0.03,-0.355
1.25,1.81,0.914,1.855,0.656,0.37,0.59,-0.76,0.742,-1.07
0.5,1.072,0.969,1.241,0.629,0.39,0.02,-0.62,0.433,-1.127
0.25,0.945,1.549,1.339,1.355,0.27,-0.63,0.45,-0.206,0.015
0,1.237,1.287,1.295,1.448,-0.42,-0.21,-0.07,-0.21,0.161
1.25,1.821,1.08,2.107,0.775,1.43,0.5,-0.48,0.692,-0.583
0,0.723,1.221,0.93,0.883,1.19,-0.51,0.15,-0.085,0.159
0.25,1.469,0.807,1.544,0.764,0.22,0.09,-0.5,0.51,-0.801
