hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
-1,1.011,2.148,1.25,1.552,-2.03,-0.37,1.17,0.005,0.49
0.25,1.08,0.982,1.393,1.295,1.1,-0.56,-0.53,-0.257,-0.404
1,1.428,1.198,1.664,1.034,-0.27,0.26,-0.45,0.762,-0.115
-1,0.983,1.844,0.973,1.507,-3,0.02,0.99,0.197,0.45
0.5,0.922,1.217,1.239,0.872,0.4,-0.49,-0.05,-0.258,-0.16
-1.5,1.173,2.158,1.46,1.706,0.4,-0.29,1.15,0.627,0.648
0.5,1.519,0.903,2.321,0.873,2.4,-0.03,-0.1,1.072,0.001
2,2.107,1.081,2.407,0.887,2.3,1.36,-0.23,1.858,-0.441
0,1.066,1.044,0.956,1.012,-0.11,-0.67,-0.24,-0.096,-0.314
0,0.854,0.95,1.158,0.832,0.61,-0.6,-0.43,-0.365,-0.655
0.5,1.987,1.548,1.809,1.348,1.29,1.07,0.43,1.149,0.075
0.25,1.328,1.018,1.449,1.148,1.2,-0.38,-0.61,0.177,-0.434
1.5,2.351,1.142,2.003,1.329,1.1,1.58,-0.3,1.175,-0.376
1,1.842,1.174,2.057,0.973,0.89,0.69,-0.38,0.97,-0.173
0.25,1.478,1.363,2.157,1.19,-0.35,0.33,-0.11,1.002,-0.33
0.25,2.139,2.088,2.169,1.561,1.29,0.92,1.11,1.252,0.372
0.25,1.083,1.181,1.274,0.996,0.86,-0.19,-0.48,-0.053,-0.84
1.5,1.517,0.897,1.691,0.919,2.64,0.4,-0.57,0.687,-0.467
0.75,1.178,1.129,1.245,0.855,0.93,-0.42,-0.34,-0.392,-0.377
-0.25,0.931,1.582,1.105,1.25,-0.13,-0.4,0.36,-0.216,0.006
-0.25,1.019,1.549,1.262,1.192,-0.8,-0.35,0.05,-0.034,-0.435
-0.75,1.068,2.317,1.69,1.86,-1.17,-0.51,1.43,0.175,0.913
-0.75,0.999,2.306,1.244,1.645,-2.56,-0.46,1.61,-0.192,0.573
-0.25,1.335,1.757,1.597,1.404,-1.32,-0.01,0.69,0.605,-0.185
0.5,0.885,1.071,0.933,0.935,-0.94,-0.12,-0.71,0.133,-0.489
0,1.157,1.369,1.3,1.045,-1.53,-0.51,0.03,-0.008,-0.424
0,0.989,0.997,0.906,0.815,-0.21,-0.81,-0.24,-0.232,-0.662
0.5,0.879,1.139,1.275,0.87,0.84,-0.74,-0.28,-0.298,-0.472
1.5,2.477,1.335,1.95,1.185,0.73,1.76,-0.13,1.111,-0.406
0,1.046,1.16,1.37,1.182,0.88,-0.47,-0.35,0.474,-0.529
-1,1.488,1.857,2.215,1.732,-1.15,-0.33,0.6,0.93,0.534
1.75,2.187,1.242,1.857,1.012,1,1.21,-0.03,1.121,-0.308
1,1.552,0.987,2.2,0.855,-0.26,0.24,-0.07,0.973,-0.059
0.5,1.725,1.709,2.028,1.201,0.33,0.69,0.8,1.037,-0.026
1.5,2.26,1.047,2.481,0.876,-0.6,1.56,-0.69,1.878,-0.349
-0.5,1.221,2.487,1.529,2.119,-1.51,-0.07,1.8,0.561,1.347
0,1.136,1.598,1.279,0.987,-0.63,-0.28,-0.2,-0.168,-0.907
-1,0.907,2.154,1.035,1.491,-0.55,-0.15,1.45,0.171,0.301
-1.25,0.996,2.203,1.296,1.67,0.29,-0.5,1.2,-0.054,0.485
1,0.941,1.146,1.536,0.838,1.75,-0.82,-0.42,-0.15,-0.43
0,1.308,1.701,1.401,1.225,-0.32,-0.09,0.34,-0.224,-0.134
1.75,1.7,1.315,2.067,0.935,2.4,0.39,-0.4,1.102,-0.944
0.5,1.217,1.042,1.389,0.9,-0.3,-0.01,-0.38,0.069,-0.719
-0.75,1.037,1.871,1.143,1.527,-1.56,-0.2,0.78,-0.071,-0.082
1.75,1.635,1.03,1.917,0.916,2.04,0.72,-0.75,1.103,-0.519
-1,0.896,2.339,1.079,1.817,-1,-0.29,1.28,-0.13,0.588
0,0.855,1.168,1.27,0.917,0.92,-0.67,-0.56,-0.073,-0.965
0.25,0.869,0.9,0.954,0.842,-0.99,-0.33,-0.57,-0.033,-0.825
0.75,1.103,0.949,1.654,0.838,1.67,-0.71,-0.94,-0.087,-0.729
0.25,1.302,1.446,1.312,0.846,0.24,-0.09,-0.3,-0.3,-1.029
-0.75,1.333,2.014,1.541,1.677,0.68,0.11,0.87,0.228,0.02
0,1.294,1.583,1.394,1.14,-1.87,-0.17,0.19,-0.105,-0.172
0.25,1.726,2.385,2.206,1.956,-1.67,0.46,1.71,1.241,1.18
1.75,1.662,1.103,1.915,0.725,1.36,0.73,-0.48,1.117,-0.514
-0.5,1.377,2.171,1.583,1.594,-0.37,0.07,1.44,0.546,0.475
0.25,1.145,0.878,1.454,0.859,0.21,-0.52,-0.23,0.093,-0.488
0,1.477,1.349,2.23,0.984,2.04,-0.17,0.13,0.951,-0.476
1.5,2.217,1.306,2.092,0.992,1.63,1.49,0.11,1.314,-0.241
1.5,2.352,1.228,1.96,1.158,0.03,1.24,-0.29,1.159,-0.498
0,0.762,1.213,1.43,0.886,0.11,-0.86,-0.63,0.009,-0.342
0,1.02,1.012,1.463,0.778,-0.59,-0.55,-0.14,0.444,-0.138
1.75,2.154,0.979,2.12,0.852,0.62,1.05,-0.59,1.076,-0.523
-1.5,0.809,1.715,0.928,1.645,-1.41,-1.02,0.3,-0.227,0.403
1.5,2.188,1.336,2.347,1.161,1,1.43,-0.04,1.744,-0.478
-0.25,1.611,1.809,2.216,1.129,-1.19,0.27,0.83,0.893,-0.086
-0.5,0.673,1.382,0.89,1.105,-0.27,-1.26,0.12,-0.403,-0.346
0,0.706,1.204,1.362,1.095,-0.78,-1.03,-0.39,-0.171,-0.669
0.25,1.291,1.249,2.065,1.049,0.46,-0.44,-0.48,0.772,-0.115
1.5,2.365,1.189,2.061,1.042,1.21,1.35,-0.26,1.317,-0.681
0.75,1.482,1.24,2.051,0.875,1.3,0.01,0.05,0.655,-0.329
0.25,1.12,0.959,1.594,0.835,-0.34,-0.5,-0.66,0.495,-0.568
1.5,2.195,0.972,2.138,0.762,2.31,1.09,-0.2,1.135,-0.175
0.25,2.324,1.741,2.441,1.672,1.43,1.66,0.31,1.89,0.455
-0.75,1.182,1.833,1.485,1.287,-3,-0.43,0.95,0.131,0.136
1.75,2.257,0.888,2.23,0.862,2.62,1.39,-0.22,1.388,-0.478
0.25,0.932,1.325,1.055,0.89,-1.66,-0.26,-0.49,0.108,-0.968
0.75,1.356,0.623,1.39,0.789,1.07,0.11,-1.3,0.063,-0.775
2,1.61,1.218,2.222,0.65,0.84,0.22,-0.37,1.115,-0.664
-1.25,0.94,2.362,1.425,1.622,-1.67,-0.79,1.53,0.029,0.486
0.25,1.375,1.332,1.551,1.258,-0.29,0.12,-0.17,0.515,-0.048
-0.75,1.224,2.211,1.681,1.824,-0.06,-0.48,1.01,-0.065,0.236
-0.75,1.36,2.272,1.366,1.917,-1.61,-0.12,1.37,-0.142,1.136
0.5,1.125,1.118,1.346,0.898,0.47,-0.38,-0.61,-0.261,-0.966
0.5,0.871,0.572,1.058,0.825,0.57,-0.3,-1.23,-0.067,-0.949
0,1.88,2.378,1.936,1.841,-0.68,0.95,1.4,1.115,0.596
